frame,time_sec,slot_id,track_id,img_foot_x,img_foot_y,court_x_m,court_y_m
239,7.967,1,0,1016,496,3.576,2.198
239,7.967,0,1,778,1018,2.122,12.642
240,8.0,1,0,1009,501,3.519,2.341
240,8.0,0,1,778,1022,2.124,12.698
241,8.033,1,0,1004,468,3.492,1.37
241,8.033,0,1,771,1023,2.087,12.712
242,8.067,1,0,1004,468,3.492,1.37
242,8.067,0,1,771,1023,2.087,12.712
243,8.1,1,0,997,473,3.434,1.52
243,8.1,0,1,762,1023,2.038,12.711
244,8.133,1,0,989,513,3.36,2.68
244,8.133,0,1,734,1023,1.886,12.711
245,8.167,1,0,972,513,3.228,2.679
245,8.167,0,1,706,1022,1.733,12.696
246,8.2,1,0,968,513,3.197,2.679
246,8.2,0,1,719,1019,1.801,12.655
247,8.233,1,0,969,513,3.205,2.679
247,8.233,0,1,719,1019,1.801,12.655
248,8.267,1,0,966,513,3.182,2.679
248,8.267,0,1,705,1018,1.724,12.641
249,8.3,1,0,963,514,3.159,2.707
249,8.3,0,1,696,1013,1.671,12.571
250,8.333,1,0,962,510,3.151,2.595
250,8.333,0,1,688,1022,1.635,12.696
251,8.367,1,0,954,515,3.089,2.735
251,8.367,0,1,680,1011,1.582,12.542
252,8.4,1,0,954,515,3.089,2.735
252,8.4,0,1,680,1011,1.582,12.542
253,8.433,1,0,948,520,3.043,2.873
253,8.433,0,1,672,1012,1.539,12.556
254,8.467,1,0,940,528,2.982,3.093
254,8.467,0,1,672,1022,1.548,12.695
255,8.5,1,0,933,536,2.929,3.31
255,8.5,0,1,674,1050,1.583,13.077
256,8.533,1,0,930,536,2.906,3.31
256,8.533,0,1,679,1057,1.615,13.17
257,8.567,1,0,930,536,2.906,3.31
257,8.567,0,1,679,1057,1.615,13.17
258,8.6,1,0,929,536,2.899,3.31
258,8.6,0,1,680,1061,1.624,13.223
259,8.633,1,0,926,536,2.876,3.31
259,8.633,0,1,677,1064,1.611,13.263
260,8.667,1,0,924,536,2.861,3.31
260,8.667,0,1,676,1064,1.605,13.263
261,8.7,1,0,925,536,2.868,3.31
261,8.7,0,1,675,1062,1.598,13.236
262,8.733,1,0,925,536,2.868,3.31
262,8.733,0,1,675,1062,1.598,13.236
263,8.767,1,0,928,536,2.891,3.31
263,8.767,0,1,674,1062,1.593,13.236
264,8.8,1,0,932,536,2.921,3.31
264,8.8,0,1,668,1059,1.559,13.197
265,8.833,1,0,951,536,3.066,3.311
265,8.833,0,1,662,1054,1.522,13.13
266,8.867,1,0,958,541,3.119,3.446
266,8.867,0,1,665,1049,1.534,13.063
267,8.9,1,0,958,541,3.119,3.446
267,8.9,0,1,665,1049,1.534,13.063
268,8.933,1,0,982,530,3.302,3.15
268,8.933,0,1,693,1023,1.663,12.71
269,8.967,1,0,972,473,3.234,1.519
269,8.967,0,1,708,1018,1.74,12.641
270,9.0,1,0,975,524,3.25,2.985
270,9.0,0,1,723,1015,1.82,12.599
271,9.033,1,0,978,471,3.283,1.459
271,9.033,0,1,745,1010,1.937,12.53
272,9.067,1,0,977,470,3.275,1.429
272,9.067,0,1,745,1010,1.937,12.53
273,9.1,1,0,979,524,3.281,2.985
273,9.1,0,1,758,1009,2.007,12.516
274,9.133,1,0,985,471,3.339,1.46
274,9.133,0,1,766,1002,2.047,12.418
275,9.167,1,0,992,470,3.395,1.43
275,9.167,0,1,775,999,2.095,12.375
276,9.2,1,0,997,524,3.419,2.986
276,9.2,0,1,784,1010,2.15,12.531
277,9.233,1,0,997,524,3.419,2.986
277,9.233,0,1,784,1010,2.15,12.531
278,9.267,1,0,1017,518,3.575,2.821
278,9.267,0,1,792,1010,2.194,12.531
279,9.3,1,0,1020,517,3.598,2.793
279,9.3,0,1,799,1010,2.233,12.531
280,9.333,1,0,1022,508,3.618,2.541
280,9.333,0,1,805,1010,2.265,12.531
281,9.367,1,0,1026,505,3.65,2.456
281,9.367,0,1,811,1014,2.3,12.587
282,9.4,1,0,1026,505,3.65,2.456
282,9.4,0,1,811,1014,2.3,12.587
283,9.433,1,0,1027,497,3.662,2.227
283,9.433,0,1,822,987,2.349,12.205
284,9.467,1,0,1036,468,3.749,1.371
284,9.467,0,1,827,963,2.367,11.854
285,9.5,1,0,1042,468,3.798,1.372
285,9.5,0,1,845,949,2.463,11.645
286,9.533,1,0,1040,468,3.782,1.372
286,9.533,0,1,853,941,2.506,11.523
287,9.567,1,0,1040,468,3.782,1.372
287,9.567,0,1,853,941,2.506,11.523
288,9.6,1,0,1049,464,3.857,1.251
288,9.6,0,1,861,940,2.551,11.508
289,9.633,1,0,1054,461,3.899,1.159
289,9.633,0,1,870,937,2.602,11.463
290,9.667,1,0,1050,460,3.868,1.128
290,9.667,0,1,871,921,2.603,11.215
291,9.7,1,0,1057,451,3.931,0.85
291,9.7,0,1,888,924,2.702,11.262
292,9.733,1,0,1057,452,3.93,0.881
292,9.733,0,1,888,924,2.702,11.262
293,9.767,1,0,1057,455,3.928,0.975
293,9.767,0,1,913,925,2.846,11.279
294,9.8,1,0,1068,456,4.017,1.006
294,9.8,0,1,915,923,2.857,11.248
295,9.833,1,0,1078,465,4.09,1.282
295,9.833,0,1,922,913,2.897,11.091
296,9.867,1,0,1080,464,4.107,1.252
296,9.867,0,1,925,908,2.914,11.012
297,9.9,1,0,1080,464,4.107,1.252
297,9.9,0,1,925,908,2.914,11.012
298,9.933,1,0,1080,464,4.107,1.252
298,9.933,0,1,927,907,2.925,10.996
299,9.967,1,0,1078,465,4.09,1.282
299,9.967,0,1,923,908,2.902,11.012
300,10.0,1,0,1070,466,4.025,1.312
300,10.0,0,1,921,908,2.89,11.012
301,10.033,1,0,1063,466,3.968,1.312
301,10.033,0,1,914,909,2.85,11.027
302,10.067,1,0,1063,466,3.968,1.312
302,10.067,0,1,914,909,2.85,11.027
303,10.1,1,0,1061,466,3.952,1.312
303,10.1,0,1,904,909,2.791,11.027
304,10.133,1,0,1058,468,3.926,1.372
304,10.133,0,1,885,902,2.679,10.915
305,10.167,1,0,1058,469,3.926,1.403
305,10.167,0,1,880,909,2.652,11.027
306,10.2,1,0,1053,469,3.885,1.402
306,10.2,0,1,897,921,2.753,11.216
307,10.233,1,0,1053,469,3.885,1.402
307,10.233,0,1,897,921,2.753,11.216
308,10.267,1,0,1045,469,3.821,1.402
308,10.267,0,1,892,916,2.723,11.137
309,10.3,1,0,1036,469,3.749,1.402
309,10.3,0,1,861,927,2.547,11.308
310,10.333,1,0,1027,469,3.677,1.401
310,10.333,0,1,850,934,2.486,11.416
311,10.367,1,0,1016,469,3.588,1.401
311,10.367,0,1,844,938,2.453,11.477
312,10.4,1,0,1015,469,3.58,1.401
312,10.4,0,1,842,938,2.442,11.477
313,10.433,1,0,1010,470,3.54,1.431
313,10.433,0,1,832,944,2.387,11.569
314,10.467,1,0,1006,470,3.507,1.431
314,10.467,0,1,821,953,2.328,11.704
315,10.5,1,0,998,470,3.443,1.43
315,10.5,0,1,815,974,2.304,12.016
316,10.533,1,0,988,485,3.359,1.876
316,10.533,0,1,796,992,2.207,12.276
317,10.567,1,0,988,485,3.359,1.876
317,10.567,0,1,796,992,2.207,12.276
318,10.6,1,0,987,489,3.35,1.993
318,10.6,0,1,786,993,2.152,12.29
